question,answer,type,columns_used,column_types,sample_answer,dataset
On which date was the highest precipitation recorded?,1882-09-23 00:00:00,category,"['DATE', 'PRCP']","['date[ns', 'UTC]', 'number[double]']",1891-07-24,009_Central
On which date was the lowest minimum temperature recorded?,1934-02-09 00:00:00,category,"['DATE', 'TMIN']","['date[ns', 'UTC]', 'number[Int8]']",1917-12-30,009_Central
On which date was the highest maximum temperature recorded?,1936-07-09 00:00:00,category,"['DATE', 'TMAX']","['date[ns', 'UTC]', 'number[UInt8]']",1891-07-24,009_Central
On which date was the deepest snow depth recorded?,1947-12-27 00:00:00,category,"['DATE', 'SNWD']","['date[ns', 'UTC]', 'number[UInt8]']",1945-02-03,009_Central
What are the dates of the top 5 highest recorded precipitation events?,"[1882-09-23 00:00:00, 2007-04-15 00:00:00, 1977-11-08 00:00:00, 1903-10-09 00:00:00, 2021-09-01 00:00:00]",list[category],"['DATE', 'PRCP']","['date[ns', 'UTC]', 'number[double]']","['1891-07-24', '1966-10-16', '1945-09-27', '1999-05-18', '1898-09-15']",009_Central
What are the dates of the top 3 lowest minimum temperatures recorded?,"[1934-02-09 00:00:00, 1917-12-30 00:00:00, 1943-02-15 00:00:00]",list[category],"['DATE', 'TMIN']","['date[ns', 'UTC]', 'number[Int8]']","['1917-12-30', '1945-02-03', '1892-03-21']",009_Central
What are the dates of the top 4 highest maximum temperatures recorded?,"[1936-07-09 00:00:00, 1918-08-07 00:00:00, 1977-07-21 00:00:00, 2011-07-22 00:00:00]",list[category],"['DATE', 'TMAX']","['date[ns', 'UTC]', 'number[UInt8]']","['1891-07-24', '1903-06-03', '1982-07-02', '1960-08-26']",009_Central
What are the dates of the top 2 deepest snow depth recorded?,"[1947-12-27 00:00:00, 1947-12-28 00:00:00]",list[category],"['DATE', 'SNWD']","['date[ns', 'UTC]', 'number[UInt8]']","['1945-02-03', '1917-12-30']",009_Central
What are the top 3 highest recorded precipitation events in inches?,"[8.28, 7.57, 7.4]",list[number],['PRCP'],['number[double]'],"[0.66, 0.26, 0.1]",009_Central
What are the top 5 lowest minimum temperatures recorded?,"[-15.0, -13.0, -8.0, -7.0, -7.0]",list[number],['TMIN'],['number[Int8]'],"[-13.0, 18.0, 19.0, 29.0, 32.0]",009_Central
What are the top 4 highest maximum temperatures recorded?,"[106.0, 104.0, 104.0, 104.0]",list[number],['TMAX'],['number[UInt8]'],"[81.0, 81.0, 80.0, 79.0]",009_Central
What are the top 2 deepest snow depth recorded in inches?,"[26.0, 25.0]",list[number],['SNWD'],['number[UInt8]'],"[4.0, 3.0]",009_Central
Are there more than 20 unique clothing items in the dataset?,True,boolean,['Clothing ID'],['number[uint16]'],False,010_ECommerce
Is the age of the reviewers above 50 years on average?,False,boolean,['Age'],['number[uint8]'],False,010_ECommerce
Do all reviews come from the same department?,False,boolean,['Department Name'],['category'],False,010_ECommerce
Are all products recommended?,False,boolean,['Recommended IND'],['number[uint8]'],False,010_ECommerce
What is the average age of the reviewers?,43.198543813335604,number,['Age'],['number[uint8]'],39.65,010_ECommerce
What's the highest number of positive feedback received for a review?,122,number,['Positive Feedback Count'],['number[uint8]'],19,010_ECommerce
What is the most common rating given by reviewers?,5,number,['Rating'],['number[uint8]'],5,010_ECommerce
How many unique clothing items are there in the dataset?,1206,number,['Clothing ID'],['number[uint16]'],20,010_ECommerce
Which department has the most reviews?,Tops,category,['Department Name'],['category'],Dresses,010_ECommerce
Which class of clothing is most commonly reviewed?,Dresses,category,['Class Name'],['category'],Dresses,010_ECommerce
Which division is most commonly mentioned in the reviews?,General,category,['Division Name'],['category'],General,010_ECommerce
What is the most frequently reviewed clothing item?,1078,category,['Clothing ID'],['number[uint16]'],1095,010_ECommerce
Which are the top 6 most reviewed categories in Department Name?,"['Tops', 'Dresses', 'Bottoms', 'Intimate', 'Jackets', 'Trend']",list[category],['Department Name'],['category'],"[Dresses, Tops, Bottoms, Intimate]",010_ECommerce
Which are the top 2 most reviewed categories in Class Name?,"['Dresses', 'Knits']",list[category],['Class Name'],['category'],"[Dresses, Blouses]",010_ECommerce
Which are the top 2 most reviewed categories in Division Name?,"['General', 'General Petite']",list[category],['Division Name'],['category'],"[General, General Petite]",010_ECommerce
What are the 4 most common ratings given by reviewers?,"[5, 4, 3, 2]",list[category],['Rating'],['number[uint8]'],"[5, 4, 3, 2]",010_ECommerce
What are the 5 most common Ages of reviewers?,"[39, 35, 36, 34, 38]",list[number],['Age'],['number[uint8]'],"[36, 30, 56, 33, 34]",010_ECommerce
What are the 6 most common Positive Feedback Counts of reviewers?,"[0, 1, 2, 3, 4, 5]",list[number],['Positive Feedback Count'],['number[uint8]'],"[0, 3, 5, 1, 19, 11]",010_ECommerce
What are the 4 most common values for recommendation indicator?,"[1, 0]",list[number],['Recommended IND'],['number[uint8]'],"[1, 0]",010_ECommerce
What are the 2 most common clothing IDs in the reviews?,"[1078, 862]",list[number],['Clothing ID'],['number[uint16]'],"[1095, 903]",010_ECommerce
Was the highest reported incident in the year 2023 filed online?,False,boolean,"['Incident Year', 'Filed Online', 'Incident Number']","['number[uint16]', 'boolean', 'number[uint32]']",False,011_SF
Are all incidents reported on Mondays resolved?,False,boolean,"['Incident Day of Week', 'Resolution']","['category', 'category']",False,011_SF
Do any incidents reported in Police District 'Central' fall in Supervisor District 5?,False,boolean,"['Police District', 'Supervisor District']","['category', 'number[UInt8]']",False,011_SF
Are there any incidents that occurred at the same latitude and longitude more than once?,True,boolean,"['Latitude', 'Longitude']","['number[double]', 'number[double]']",False,011_SF
How many unique types of incident categories are there in the dataset?,49,number,['Incident Category'],['category'],11,011_SF
What's the total number of incidents reported online?,144099,number,['Filed Online'],['boolean'],1,011_SF
How many different police districts are there in the dataset?,11,number,['Police District'],['category'],9,011_SF
What is the average incident count per year?,118851.16666666667,number,['Incident Year'],['number[uint16]'],3.3333333333333335,011_SF
What is the most common incident category?,Larceny Theft,category,['Incident Category'],['category'],Larceny Theft,011_SF
Which day of the week has the highest number of incidents?,Friday,category,['Incident Day of Week'],['category'],Saturday,011_SF
What is the most common resolution for incidents reported online?,Open or Active,category,"['Filed Online', 'Resolution']","['boolean', 'category']",Open or Active,011_SF
What is the Police District with the most incidents?,Central,category,['Police District'],['category'],Northern,011_SF
What are the top 5 most common incident descriptions?,"[Theft, From Locked Vehicle, >$950, [Malicious Mischief], Vandalism to Property, Battery, Lost Property, Vehicle, Recovered, Auto]",list[category],['Incident Description'],['category'],"['Investigative Detention', 'Theft, From Locked Vehicle, $200-$950', 'Assault, Aggravated, W/ Other Weapon', 'Theft, From Locked Vehicle, >$950', 'Theft, From Unlocked Vehicle, >$950']",011_SF
Name the 4 most frequently occurring police districts.,"[Central, Northern, Mission, Southern]",list[category],['Police District'],['category'],"['Northern', 'Central', 'Mission', 'Bayview']",011_SF
List the 3 most common incident categories on Fridays.,"[Larceny Theft, Malicious Mischief, Other Miscellaneous]",list[category],"['Incident Day of Week', 'Incident Category']","['category', 'category']","['Other Miscellaneous', 'Larceny Theft', 'Assault']",011_SF
Give the 6 most common resolutions for incidents.,"[Open or Active, Cite or Arrest Adult, Unfounded, Exceptional Adult]",list[category],['Resolution'],['category'],"['Open or Active', 'Cite or Arrest Adult']",011_SF
List the years with the top 4 highest incident counts.,"[2018, 2019, 2022, 2021]",list[number],['Incident Year'],['number[uint16]'],"[2018, 2019, 2021, 2022]",011_SF
Which 3 incident years have the lowest number of online filed reports?,"[2023, 2020, 2021]",list[number],"['Incident Year', 'Filed Online']","['number[uint16]', 'boolean']","[2018, 2020, 2021]",011_SF
Provide the 5 most frequently repeated latitude-longitude pairs.,"[(37.784560141211806, -122.40733704162238), (37.7751608100771, -122.40363551943442), (37.78640961281089, -122.40803623744476), (37.7839325760642, -122.4125952775858), (37.77871942789032, -122.4147412230519)]",list[number],"['Latitude', 'Longitude']","['number[double]', 'number[double]']","[(37.72344678051801, -122.40007300242718), (37.724004908138426, -122.4353125712072), (37.73078874215092, -122.42838994658086), (37.73132568595012, -122.46129211000152), (37.7430966136643, -122.47462383026864)]",011_SF
Name the 6 years with the most number of unique incident categories.,"[2018, 2019, 2020, 2021, 2022, 2023]",list[number],"['Incident Year', 'Incident Category']","['number[uint16]', 'category']","[2018, 2019, 2021, 2022, 2020, 2023]",011_SF
Do all patients experience exercise-induced angina?,False,boolean,['ExerciseAngina'],['category'],False,012_Heart
Does any patient have a resting blood pressure above 200?,False,boolean,['RestingBP'],['number[uint8]'],False,012_Heart
Are there patients without heart disease?,True,boolean,['HeartDisease'],['number[uint8]'],True,012_Heart
Does everyone have normal resting electrocardiographic results?,False,boolean,['RestingECG'],['category'],False,012_Heart
What is the maximum age of patients in the dataset?,77,number,['Age'],['number[uint8]'],69,012_Heart
What is the minimum resting blood pressure among the patients?,0,number,['RestingBP'],['number[uint8]'],95,012_Heart
What is the average cholesterol level in the dataset?,198.7995642701525,number,['Cholesterol'],['number[uint16]'],207.8,012_Heart
What is the standard deviation of maximum heart rate among the patients?,25.4603341382503,number,['MaxHR'],['number[uint8]'],27.360170821258063,012_Heart
What is the most common chest pain type among patients?,ASY,category,['ChestPainType'],['category'],ASY,012_Heart
What is the least common resting electrocardiographic result?,ST,category,['RestingECG'],['category'],ST,012_Heart
What is the most common ST slope among patients with heart disease?,Flat,category,"['ST_Slope', 'HeartDisease']","['category', 'number[uint8]']",Flat,012_Heart
What is the least common chest pain type among male patients?,TA,category,"['ChestPainType', 'Sex']","['category', 'category']",TA,012_Heart
What are the top 3 most common chest pain types?,"['ASY', 'NAP', 'ATA']",list[category],['ChestPainType'],['category'],"['ASY', 'NAP', 'ATA']",012_Heart
Which 4 resting electrocardiographic results are least common?,"['ST', 'LVH', 'Normal']",list[category],['RestingECG'],['category'],"['ST', 'LVH', 'Normal']",012_Heart
What are the 2 most common ST slopes among patients with heart disease?,"['Flat', 'Up']",list[category],"['ST_Slope', 'HeartDisease']","['category', 'number[uint8]']","['Flat', 'Down']",012_Heart
What are the 4 most common chest pain types among male patients?,"['TA', 'ATA', 'NAP', 'ASY']",list[category],"['ChestPainType', 'Sex']","['category', 'category']","['TA', 'ATA', 'NAP', 'ASY']",012_Heart
What are the top 5 ages of patients in the dataset?,"[54, 58, 55, 56, 57]",list[number],['Age'],['number[uint8]'],"[56, 67, 64, 57, 63]",012_Heart
What are the 4 least common resting blood pressures among the patients?,"[101, 174, 192, 129]",list[number],['RestingBP'],['number[uint8]'],"[145, 160, 108, 142]",012_Heart
What are the 6 most common cholesterol levels in the dataset?,"[0, 254, 223, 220, 230, 211]",list[number],['Cholesterol'],['number[uint16]'],"[0, 195, 518, 309, 254, 271]",012_Heart
What are the 3 least common maximum heart rates among the patients?,"[177, 187, 194]",list[number],['MaxHR'],['number[uint8]'],"[179, 86, 140]",012_Heart
Did the oldest roller coaster in the dataset still operate?,True,boolean,"['year_introduced', 'Status']","['category', 'category']",True,013_Roller
Is there a roller coaster in the dataset that operates at a speed more than 100 mph?,True,boolean,['speed_mph'],['number[double]'],False,013_Roller
Are all roller coasters in the dataset designed by 'Werner Stengel' removed?,False,boolean,"['Designer', 'Status']","['category', 'category']",False,013_Roller
Does every roller coaster have a G-force value?,False,boolean,['Gforce_clean'],['number[double]'],False,013_Roller
What is the maximum speed (in mph) for roller coasters in the dataset?,149.1,number,['speed_mph'],['number[double]'],62.0,013_Roller
How many roller coasters were introduced in the year 2000?,47,number,['year_introduced'],['number[uint16]'],0,013_Roller
What is the average G-force across all roller coasters in the dataset?,3.8240055248618785,number,['Gforce_clean'],['number[double]'],3.62,013_Roller
What is the total number of roller coasters designed by 'Edwin Madeupname' in the dataset?,0,number,['Designer'],['category'],0,013_Roller
Which manufacturer has built the fastest roller coaster?,Intamin,category,"['Manufacturer', 'speed_mph']","['category', 'number[double]']",Bolliger & Mabillard,013_Roller
What is the status of the roller coaster with the highest G-force?,Removed,category,"['Status', 'Gforce_clean']","['category', 'number[double]']",,013_Roller
What type of the roller coaster is the oldest in the dataset?,Wood,category,"['Type', 'Opening date']","['category', 'category']",Other,013_Roller
What is the location of the roller coaster with the highest number of inversions?,Alton Towers,category,"['Location', 'Inversions_clean']","['category', 'number[uint8]']",Busch Gardens Tampa Bay,013_Roller
What are the names of the top 3 fastest roller coasters?,"[Formula Rossa, Kingda Ka, Top Thrill Dragster]",list[category],"['coaster_name', 'speed_mph']","['category', 'number[double]']","[\'Afterburn (roller coaster)\', \'Hades 360\', \'Montu (roller coaster)\']",013_Roller
Which 2 roller coasters have the highest number of inversions?,"[The Smiler, Colossus (Thorpe Park)]",list[category],"['coaster_name', 'Inversions_clean']","['category', 'number[uint8]']","[\'Montu (roller coaster)\', \'Wipeout (roller coaster)\']",013_Roller
What are the locations of the top 5 roller coasters with the highest G-force?,"[Sea Lion Park, Fuji-Q Highland, Six Flags Over Texas, Nürburgring, Morey's Piers]",list[category],"['Location', 'Gforce_clean']","['category', 'number[double]']","[\'Other\', \'Busch Gardens Tampa Bay\', \'Mt. Olympus Water & Theme Park\', \'Adventuredome\', \'Other\']",013_Roller
Name the 4 oldest roller coasters in the dataset.,"[Switchback Railway, Flip Flap Railway, Loop the Loop (Coney Island), Loop the Loop (Young's Pier)]",list[category],"['coaster_name', 'Opening date']","['category', 'category']","[\'Zipper Dipper\', \'Runaway Mine Train (Six Flags Over Texas)\', \'The Bush Beast\', \'Canyon Blaster (Adventuredome)\']",013_Roller
What are the top 3 speeds (in mph) of roller coasters in the dataset?,"[149.1, 128.0, 120.0]",list[number],['speed_mph'],['number[double]'],"[62.0, 60.0, 60.0]",013_Roller
List the G-force values of the 2 roller coasters with the highest G-force.,"[12.0, 6.5]",list[number],['Gforce_clean'],['number[double]'],"[4.3, 3.8]",013_Roller
What are the heights (in ft) of the top 4 tallest roller coasters?,"[377.3, 367.5, 318.2, 306.1]",list[number],['height_ft'],['number[double]'],"[98.4, 90.2, 82.0, 78.7]",013_Roller
